iter	Passed	Remaining
0	0	43
1	0	42
2	1	41
3	1	39
4	2	39
5	2	39
6	2	38
7	3	37
8	3	36
9	3	35
10	4	34
11	4	33
12	4	33
13	5	32
14	5	32
15	5	31
16	6	30
17	6	30
18	6	29
19	7	28
20	7	28
21	7	27
22	8	27
23	8	26
24	8	26
25	9	26
26	9	25
27	9	25
28	10	24
29	10	24
30	10	23
31	10	23
32	11	22
33	11	22
34	11	21
35	11	21
36	12	20
37	12	20
38	12	19
39	12	19
40	13	18
41	13	18
42	13	18
43	13	17
44	14	17
45	14	16
46	14	16
47	14	15
48	14	15
49	15	15
50	15	14
51	15	14
52	15	14
53	16	13
54	16	13
55	16	13
56	16	12
57	17	12
58	17	11
59	17	11
60	17	11
61	17	10
62	18	10
63	18	10
64	18	10
65	18	9
66	19	9
67	19	9
68	19	8
69	19	8
70	19	8
71	20	7
72	20	7
73	20	7
74	20	6
75	21	6
76	21	6
77	21	6
78	21	5
79	21	5
80	22	5
81	22	4
82	22	4
83	22	4
84	22	4
85	23	3
86	23	3
87	23	3
88	24	2
89	24	2
90	24	2
91	24	2
92	25	1
93	25	1
94	25	1
95	25	1
96	26	0
97	26	0
98	26	0
99	26	0
