iter	Passed	Remaining
0	47	47533
1	48	24206
2	49	16515
3	50	12676
4	52	10372
5	53	8796
6	53	7632
7	54	6786
8	55	6129
9	56	5604
10	57	5169
11	58	4828
12	59	4520
13	60	4256
14	61	4013
15	61	3808
16	62	3637
17	63	3481
18	65	3371
19	66	3250
20	67	3139
21	68	3035
22	69	2937
23	70	2852
24	71	2772
25	71	2697
26	72	2630
27	73	2567
28	74	2507
29	75	2449
30	76	2398
31	77	2349
32	78	2304
33	79	2258
34	80	2215
35	81	2174
36	82	2139
37	82	2100
38	83	2063
39	84	2030
40	85	1995
41	86	1962
42	86	1930
43	87	1898
44	88	1868
45	88	1838
46	89	1809
47	89	1782
48	90	1755
49	90	1728
50	91	1704
51	92	1680
52	93	1663
53	93	1640
54	94	1617
55	94	1594
56	95	1573
57	95	1552
58	96	1531
59	96	1512
60	96	1491
61	97	1471
62	97	1451
63	97	1432
64	98	1416
65	98	1398
66	99	1382
67	99	1365
68	100	1349
69	100	1333
70	100	1318
71	101	1303
72	101	1288
73	102	1278
74	102	1264
75	103	1256
76	103	1243
77	104	1230
78	104	1217
79	104	1204
80	105	1191
81	105	1178
82	105	1164
83	105	1153
84	106	1141
85	106	1130
86	106	1119
87	106	1108
88	107	1097
89	107	1086
90	107	1075
91	107	1065
92	108	1054
93	108	1044
94	108	1034
95	108	1024
96	109	1015
97	109	1006
98	109	997
99	109	988
100	110	980
101	110	972
102	110	964
103	111	957
104	111	950
105	111	942
106	111	934
107	112	926
108	112	918
109	112	911
110	112	903
111	113	896
112	113	889
113	113	882
114	113	876
115	114	869
116	114	862
117	114	855
118	114	849
119	114	842
120	115	836
121	115	829
122	115	823
123	115	817
124	115	811
125	116	805
126	116	799
127	116	794
128	116	788
129	117	783
130	117	777
131	117	772
132	117	767
133	117	761
134	118	756
135	118	751
136	118	746
137	118	741
138	118	736
139	119	731
140	119	727
141	119	722
142	120	721
143	120	716
144	120	712
145	121	708
146	121	704
147	121	700
148	121	695
149	122	691
150	122	687
151	122	683
152	122	679
153	122	675
154	123	672
155	123	668
156	123	664
157	123	660
158	124	656
159	124	653
160	124	649
161	124	645
162	125	641
163	125	638
164	125	634
165	125	631
166	126	628
167	126	625
168	126	622
169	126	620
170	127	617
171	127	613
172	127	610
173	127	607
174	128	604
175	128	601
176	128	598
177	128	595
178	129	592
179	129	589
180	129	586
181	129	583
182	130	580
183	130	577
184	130	574
185	130	571
186	130	569
187	131	566
188	131	563
189	131	560
190	131	558
191	132	555
192	132	552
193	132	550
194	132	547
195	132	545
196	133	542
197	133	540
198	133	537
199	133	535
200	134	532
201	134	530
202	134	528
203	134	525
204	134	523
205	135	521
206	135	518
207	135	516
208	135	514
209	136	512
210	136	509
211	136	507
212	136	505
213	137	503
214	137	501
215	137	499
216	137	497
217	138	495
218	138	493
219	138	491
220	138	489
221	138	486
222	139	484
223	139	483
224	139	480
225	139	479
226	140	477
227	140	475
228	140	473
229	140	471
230	141	469
231	141	468
232	141	466
233	141	464
234	142	463
235	142	461
236	142	459
237	143	458
238	143	456
239	143	454
240	143	453
241	144	451
242	144	449
243	144	447
244	144	446
245	144	444
246	145	442
247	145	440
248	145	439
249	145	437
250	146	435
251	146	434
252	146	432
253	146	430
254	146	429
255	147	427
256	147	426
257	147	424
258	147	422
259	148	421
260	148	419
261	148	418
262	148	416
263	148	415
